Name,URL,BaseModel,BaseModel,BaseExtractor,Name,URL,BaseModel,BaseModel,BaseExtractor,,50Tokenizer,50TokenizerFast,AdaptiveEmbedding,AudioConfig,AudioForAudioFrameClassification,AudioForCTC,AudioForSequenceClassification,AudioForXVector,AudioModel,AudioPostprocessor,AudioPreprocessor,BaseModel,BaseModel,BaseModelOutput,BasicDecoder,BasicVideoAutoencodingDecoder,CTCTokenizer,ClassificationDecoder,ClassificationPostprocessor,Config,ContextEncoder,ContextEncoderOutput,ContextEncoderTokenizer,ContextEncoderTokenizerFast,DecodeHead,Decoder,DecoderWithLMOutput,DoubleHeadsModel,DoubleHeadsModelOutput,Embedder,Encoder,EncoderBaseModelOutput,EncoderModel,FeatureExtractor,ForAudioFrameClassification,ForCTC,ForCausalImageModeling,ForCausalLM,ForConditionalGeneration,ForDepthEstimation,ForEntityClassification,ForEntityPairClassification,ForEntitySpanClassification,ForImageAndTextRetrieval,ForImageClassification,ForImageClassificationConvProcessing,ForImageClassificationFourier,ForImageClassificationLearned,ForImageClassificationWithTeacher,ForImagesAndTextClassification,ForInstanceSegmentation,ForMaskedImageModeling,ForMaskedLM,ForMultimodalAutoencoding,ForMultipleChoice,ForNextSentencePrediction,ForObjectDetection,ForOpenQA,ForOpticalFlow,ForPreTraining,ForPreTrainingOutput,ForQuestionAnswering,ForQuestionAnsweringOutput,ForQuestionAnsweringSimple,ForRegionToPhraseAlignment,ForSegmentation,ForSemanticSegmentation,ForSequenceClassification,ForTokenClassification,ForVisualReasoning,ForXVector,GPT2Model,ImageCodebook,ImageCodebookConfig,ImageConfig,ImageModel,ImagePreprocessor,KnowledgeAugEncoder,LMHeadModel,MTModel,Model,ModelForAudioClassification,ModelForAudioFrameClassification,ModelForAudioXVector,ModelForCTC,ModelForCausalLM,ModelForImageClassification,ModelForImageSegmentation,ModelForInstanceSegmentation,ModelForMaskedImageModeling,ModelForMaskedLM,ModelForMultipleChoice,ModelForNextSentencePrediction,ModelForObjectDetection,ModelForPreTraining,ModelForQuestionAnswering,ModelForSemanticSegmentation,ModelForSeq2SeqLM,ModelForSequenceClassification,ModelForSpeechSeq2Seq,ModelForTableQuestionAnswering,ModelForTokenClassification,ModelForVision2Seq,ModelOutput,ModelOutputWithPooling,ModelWithLMHead,MultimodalConfig,MultimodalDecoder,MultimodalModel,MultimodalPostprocessor,MultimodalPreprocessor,OneHotPreprocessor,OpticalFlowDecoder,PreTrainedModel,Processor,ProcessorWithLM,ProjectionDecoder,ProjectionPostprocessor,QuestionEncoder,QuestionEncoderTokenizer,QuestionEncoderTokenizerFast,Reader,ReaderTokenizer,ReaderTokenizerFast,RetrievAugLMMarginOutput,Retriever,Scorer,Seq2SeqLMOutput,SequenceForGeneration,Speech2Text2ForCausalLM,Speech2Text2Processor,Speech2Text2Tokenizer,Speech2TextFeatureExtractor,Speech2TextForConditionalGeneration,Speech2TextModel,Speech2TextProcessor,Speech2TextTokenizer,T5Tokenizer,T5TokenizerFast,TapasConfig,TapasForMaskedLM,TapasForQuestionAnswering,TapasForSequenceClassification,TapasModel,TapasTokenizer,TextConfig,TextForCausalLM,TextForMaskedLM,TextForMultipleChoice,TextForQuestionAnswering,TextForSequenceClassification,TextForTokenClassification,TextModel,TextPreprocessor,TokenForGeneration,Tokenizer,TokenizerFast,VisionConfig,VisionForImageClassification,VisionForSemanticSegmentation,VisionModel,WithLMHeadModel
BigBird,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/big_bird,"""google/bigbird-roberta-base""",False,"""google/bigbird-roberta-base""",BigBird,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/big_bird,"""google/bigbird-roberta-base""",False,"""google/bigbird-roberta-base""",True,False,False,False,False,False,False,False,False,False,False,False,"""google/bigbird-roberta-base""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
BigBirdPegasus,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/bigbird_pegasus,"""google/bigbird-pegasus-large-arxiv""",False,"""google/bigbird-pegasus-large-arxiv""",BigBirdPegasus,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/bigbird_pegasus,"""google/bigbird-pegasus-large-arxiv""",False,"""google/bigbird-pegasus-large-arxiv""",True,False,False,False,False,False,False,False,False,False,False,False,"""google/bigbird-pegasus-large-arxiv""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blenderbot,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/blenderbot,"""facebook/blenderbot-400M-distill""",False,"""My friends are cool but they eat too many carbs.""",Blenderbot,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/blenderbot,"""facebook/blenderbot-400M-distill""",False,"""My friends are cool but they eat too many carbs.""",True,False,False,False,False,False,False,False,False,False,False,False,"""facebook/blenderbot-400M-distill""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Blenderbot Small,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/blenderbot-small,"""facebook/blenderbot_small-90M""",False,"""facebook/blenderbot_small-90M""",Blenderbot Small,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/blenderbot-small,"""facebook/blenderbot_small-90M""",False,"""facebook/blenderbot_small-90M""",False,False,False,False,False,False,False,False,False,False,False,False,"""facebook/blenderbot_small-90M""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
ByT5,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/byt5,"""google/byt5-small""",False,"""Life is like a box of chocolates.""",ByT5,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/byt5,"""google/byt5-small""",False,"""Life is like a box of chocolates.""",True,False,False,False,False,False,False,False,False,False,False,False,"""google/byt5-small""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CamemBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/camembert,,False,,CamemBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/camembert,,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
CANINE,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/canine,"""google/canine-c""",False,"""hello world""",CANINE,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/canine,"""google/canine-c""",False,"""hello world""",False,False,False,False,False,False,False,False,False,False,False,False,"""google/canine-c""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ConvNeXT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/convnext,"""huggingface/cats-image""",False,"""test""",ConvNeXT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/convnext,"""huggingface/cats-image""",False,"""test""",False,False,False,False,False,False,False,False,False,False,False,False,"""huggingface/cats-image""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLIP,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/clip,"""openai/clip-vit-base-patch32""",False,"""openai/clip-vit-base-patch32""",CLIP,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/clip,"""openai/clip-vit-base-patch32""",False,"""openai/clip-vit-base-patch32""",True,False,False,False,False,False,False,False,False,False,False,False,"""openai/clip-vit-base-patch32""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False
ConvBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/convbert,"""YituTech/conv-bert-base""",False,"""YituTech/conv-bert-base""",ConvBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/convbert,"""YituTech/conv-bert-base""",False,"""YituTech/conv-bert-base""",False,False,False,False,False,False,False,False,False,False,False,False,"""YituTech/conv-bert-base""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
CPM,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/cpm,,False,,CPM,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/cpm,,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
CTRL,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/ctrl,"""ctrl""",False,"""ctrl""",CTRL,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/ctrl,"""ctrl""",False,"""ctrl""",True,False,False,False,False,False,False,False,False,False,False,False,"""ctrl""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
